MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label_1,Label_2,Label_3,Label_4
11.89,7.49,18.67,12.44,7.09,15.65,4.84,20.06,15.49,41.32,11.34,0,0,0,1
12.37,7.46,13.25,12.19,6.04,17.01,5.68,10.03,13.15,38.83,10.95,0,1,0,0
11.85,7.58,18.83,12.49,7.09,15.71,4.86,18.45,15.49,41.05,10.87,0,0,0,1
11.62,7.73,18.11,12.39,7.2,16.31,4.94,17.36,15.02,40.54,11.17,0,0,0,1
13.5,7.88,14.95,12.29,6.81,17.01,6.33,11.87,14.63,41.84,12.13,0,1,0,0
11.62,7.31,16.93,10.95,6.78,17.01,5.06,15.12,15.02,44.37,10.41,0,0,0,1
14.87,15.84,10.38,18.36,11.92,23.96,10.3,8.81,16.27,41.84,11.94,1,0,0,0
14.75,12.38,13.09,17.12,9.64,21.53,7.98,9.64,13.26,42.66,12.62,1,0,0,0
11.39,7.55,17.88,11.49,6.94,17.15,5.06,15.96,15.02,40.29,11.62,0,0,0,1
12.77,7.16,16.44,10.53,6.61,14.95,5.68,14.22,15.22,46.51,11.8,0,1,0,0
13.08,7.52,15.58,11.17,6.64,16.04,5.96,13.01,14.89,42.94,12.13,0,1,0,0
11.62,7.08,16.44,10.53,6.64,16.58,4.98,16.43,14.89,39.55,10.7,0,0,0,1
12.23,7.02,16.44,10.08,6.67,15.84,5.11,15.83,15.29,40.54,11.21,0,0,0,1
12.18,6.91,17.81,9.85,6.64,14.36,5.34,16.09,15.98,43.22,11.57,0,0,1,0
11.26,7.58,18.35,12.0,6.94,16.58,4.8,19.62,15.09,41.58,11.34,0,0,0,1
12.04,7.11,17.07,10.01,6.78,15.39,5.23,15.63,15.49,43.22,10.91,0,0,0,1
11.75,6.74,16.3,9.81,6.4,15.45,4.9,16.78,14.96,39.55,10.57,0,0,0,1
13.78,8.63,14.59,13.27,7.09,18.13,6.69,11.23,14.32,42.66,12.37,0,1,0,0
12.28,6.91,17.58,9.89,6.67,14.36,5.36,16.09,15.91,41.32,11.99,0,0,1,0
11.99,8.07,18.51,12.59,7.11,15.08,4.86,19.1,15.42,41.05,11.26,0,0,0,1
14.17,9.16,14.24,14.4,7.46,19.6,6.93,10.43,14.44,42.66,11.89,0,1,0,0
11.39,7.64,18.11,11.9,7.0,17.08,4.98,16.78,15.15,40.54,10.7,0,0,0,1
11.99,7.79,18.83,12.59,7.23,15.97,4.94,18.61,15.63,42.11,11.34,0,0,0,1
11.57,7.73,18.19,11.95,7.06,17.15,4.96,17.0,15.29,41.32,11.08,0,0,0,1
10.95,7.16,17.14,10.91,6.59,16.79,4.88,15.37,14.76,39.3,10.78,0,0,0,1
11.94,7.49,17.14,11.17,6.94,17.3,5.13,16.86,15.02,41.58,11.12,0,0,0,1
11.35,7.7,18.04,12.29,7.14,16.04,4.9,17.44,14.96,39.55,10.95,0,0,0,1
13.4,7.7,15.14,11.9,6.75,16.79,6.2,11.69,14.76,43.22,11.66,0,1,0,0
14.17,11.01,13.46,16.05,8.51,20.67,7.47,9.91,13.54,42.11,12.27,1,0,0,0
10.45,6.72,17.14,11.0,5.92,13.51,4.0,17.51,14.26,37.67,9.93,0,0,0,1
12.37,7.14,16.44,10.32,6.81,16.17,5.19,15.76,15.29,41.58,11.17,0,0,0,1
11.39,7.11,16.72,10.65,6.59,16.72,4.96,15.0,14.83,39.79,10.61,0,0,0,1
11.35,7.61,18.27,11.9,6.94,16.79,4.82,17.44,15.15,40.54,11.04,0,0,0,1
12.04,6.97,17.43,9.81,6.78,14.89,5.26,16.43,15.77,40.8,11.71,0,0,0,1
11.57,7.46,17.51,11.44,6.92,17.3,5.09,15.76,15.02,40.8,11.12,0,0,0,1
11.75,7.34,16.65,10.82,6.92,17.01,5.19,15.83,15.22,41.58,11.21,0,0,0,1
14.23,9.48,14.07,14.46,7.55,19.86,7.01,10.39,14.02,42.94,12.42,0,1,0,0
14.94,16.44,10.14,18.61,12.59,24.65,10.94,8.92,17.26,42.11,12.82,1,0,0,0
13.94,11.22,12.63,15.85,8.61,20.13,7.18,9.31,12.72,40.54,11.71,1,0,0,0
11.89,7.67,18.43,12.49,7.06,15.39,4.82,18.85,15.35,40.8,11.08,0,0,0,1
12.23,6.91,17.51,9.89,6.64,14.36,5.36,16.16,15.91,45.57,11.85,0,0,1,0
13.45,7.79,15.08,12.1,6.78,16.93,6.3,12.11,14.7,41.32,12.42,0,1,0,0
11.04,7.34,17.96,11.58,6.72,16.51,4.66,17.14,14.96,39.55,10.49,0,0,0,1
12.52,7.73,13.2,12.54,6.22,17.52,5.8,10.03,13.21,39.55,10.87,0,1,0,0
14.28,10.79,13.57,15.99,8.41,20.67,7.47,9.83,13.54,42.94,11.66,1,0,0,0
11.39,7.64,18.04,11.9,7.06,17.15,5.02,16.43,15.09,41.05,10.57,0,0,0,1
11.94,7.22,17.07,11.0,6.67,16.86,4.94,15.89,14.83,40.54,11.26,0,0,0,1
12.62,7.02,16.93,10.16,6.59,14.65,5.54,14.75,15.22,44.96,11.8,0,1,0,0
11.62,7.73,18.27,12.39,7.23,15.97,4.92,17.82,15.29,41.05,11.08,0,0,0,1
14.94,14.47,12.24,18.2,11.06,23.07,9.05,9.16,13.26,42.94,12.72,1,0,0,0
12.62,7.19,16.79,10.28,6.89,15.97,5.28,17.44,15.49,43.22,11.48,0,0,0,1
11.39,7.58,17.96,11.67,7.0,17.22,5.04,16.3,15.09,42.66,11.12,0,0,0,1
11.71,7.49,17.58,11.39,6.92,17.3,5.11,15.83,15.09,41.84,11.21,0,0,0,1
11.71,7.43,18.59,12.39,7.0,15.65,4.78,18.37,15.42,41.32,11.04,0,0,0,1
12.62,7.05,17.29,10.2,6.67,14.71,5.57,15.06,15.35,42.94,12.23,0,1,0,0
13.18,7.52,15.32,11.49,6.64,16.38,6.06,12.4,14.89,42.94,11.39,0,1,0,0
11.85,7.49,18.59,12.44,7.03,15.71,4.8,18.29,15.49,42.11,11.08,0,0,0,1
11.0,7.22,17.66,11.3,6.59,16.31,4.62,16.5,14.83,39.79,10.57,0,0,0,1
11.13,5.94,15.71,8.83,5.58,13.19,4.74,14.51,14.32,38.59,10.53,0,0,1,0
14.64,12.94,13.04,17.34,9.87,22.33,8.27,9.6,13.32,42.94,12.72,1,0,0,0
12.28,7.28,17.14,10.24,6.94,15.71,5.34,15.56,15.7,43.22,11.66,0,0,0,1
12.04,7.11,17.0,10.87,6.56,16.72,4.86,15.31,14.7,39.55,11.04,0,0,0,1
12.32,7.52,17.29,11.3,6.97,17.37,5.15,15.56,15.15,40.54,11.48,0,0,0,1
10.7,6.58,17.66,11.08,6.09,14.42,4.16,17.36,14.57,36.35,10.17,0,0,0,1
12.23,6.91,17.81,9.89,6.7,14.42,5.36,16.86,15.84,40.29,11.66,0,0,1,0
11.48,7.67,18.59,12.44,7.09,15.97,4.88,18.13,15.42,40.54,10.57,0,0,0,1
12.32,7.52,17.36,11.39,6.94,17.37,5.17,15.56,15.15,41.84,11.04,0,0,0,1
14.94,15.9,10.66,18.44,12.15,23.96,10.3,9.27,16.34,42.38,12.08,1,0,0,0
11.57,6.24,15.08,9.47,5.7,14.01,5.0,12.75,14.2,39.06,11.26,0,1,0,0
12.37,7.34,17.29,10.41,7.06,15.84,5.41,15.69,15.77,42.66,11.85,0,0,0,1
12.57,7.82,13.68,12.34,6.27,17.3,5.94,10.47,13.43,39.79,11.3,0,1,0,0
12.18,7.22,16.44,10.41,6.81,16.38,5.17,15.76,15.29,41.58,11.26,0,0,0,1
12.28,7.28,17.14,10.2,6.94,15.65,5.36,15.76,15.7,43.22,11.71,0,0,0,1
12.67,7.11,16.1,10.53,6.53,15.08,5.68,13.71,15.09,42.94,11.8,0,1,0,0
11.57,7.7,18.11,12.34,7.14,15.78,4.9,17.51,15.02,39.79,11.17,0,0,0,1
11.44,7.73,18.35,12.1,7.09,17.01,4.92,17.14,15.29,40.8,11.08,0,0,0,1
14.4,11.27,13.46,16.47,8.85,21.63,7.62,9.87,13.49,43.5,11.99,1,0,0,0
11.89,8.07,18.43,12.69,7.14,15.08,4.86,18.85,15.42,41.58,11.43,0,0,0,1
12.77,7.31,15.84,10.78,6.56,15.58,5.77,13.22,15.02,42.11,11.99,0,1,0,0
11.3,7.7,18.43,12.19,7.03,16.65,4.84,17.36,15.29,43.78,10.95,0,0,0,1
11.39,6.5,16.93,9.29,6.27,14.3,4.92,15.83,15.15,40.04,11.52,0,0,0,1
11.89,8.04,18.43,12.64,7.14,15.08,4.86,18.85,15.35,41.32,11.52,0,0,0,1
10.33,6.74,16.93,10.87,6.12,15.52,4.22,16.09,14.32,37.44,9.74,0,0,0,1
14.81,16.37,9.9,18.52,12.5,24.77,10.76,8.81,13.04,41.58,12.77,1,0,0,0
14.69,13.04,12.99,17.5,10.03,23.29,8.14,9.57,13.37,43.78,11.62,1,0,0,0
12.77,8.91,12.83,13.99,6.94,18.36,6.23,9.45,12.82,39.55,11.12,0,1,0,0
13.34,7.67,15.32,11.67,6.75,16.72,6.15,12.4,14.89,42.94,12.23,0,1,0,0
11.44,7.61,18.04,11.81,6.97,17.01,4.9,16.86,15.15,40.54,10.57,0,0,0,1
13.03,7.49,15.64,11.13,6.61,16.04,5.94,12.85,14.89,42.11,12.08,0,1,0,0
10.66,6.55,17.58,11.13,6.09,14.3,4.16,17.22,14.57,37.44,9.97,0,0,0,1
11.39,7.64,17.96,11.76,7.06,17.22,5.04,16.36,15.09,40.8,11.08,0,0,0,1
11.66,7.73,18.43,12.44,7.14,16.11,4.92,17.82,15.29,40.8,11.12,0,0,0,1
15.06,16.03,10.46,18.44,12.35,24.3,10.47,8.88,16.12,44.66,11.99,1,0,0,0
11.44,7.7,18.19,11.95,7.06,17.08,5.02,17.22,15.09,41.05,10.95,0,0,0,1
14.64,13.25,12.78,17.57,10.19,22.13,8.3,9.49,13.32,42.94,12.67,1,0,0,0
11.3,7.58,17.96,11.86,7.03,17.01,4.98,17.22,15.09,40.8,10.78,0,0,0,1
12.47,6.88,17.51,9.89,6.64,14.07,5.39,15.83,15.63,44.37,11.99,0,0,1,0
14.87,16.23,9.82,18.61,12.8,25.01,10.98,9.02,13.21,42.11,12.52,1,0,0,0
14.52,12.99,12.83,17.27,9.91,21.83,8.11,9.6,13.26,42.94,12.18,1,0,0,0
14.87,13.41,12.78,17.73,10.35,22.44,8.4,9.57,13.32,43.78,12.08,1,0,0,0
12.42,7.22,16.72,10.28,6.89,15.97,5.28,17.29,15.56,39.79,11.43,0,0,0,1
11.44,7.52,17.66,11.49,6.94,17.22,5.09,16.09,15.09,41.58,10.87,0,0,0,1
13.4,7.7,15.2,11.86,6.72,16.72,6.18,11.97,14.76,43.22,11.71,0,1,0,0
12.98,7.28,15.71,11.0,6.61,15.84,5.89,13.01,14.96,42.66,12.23,0,1,0,0
14.4,11.81,13.25,16.68,9.13,21.93,7.71,10.18,13.49,43.78,11.75,1,0,0,0
12.52,7.02,17.0,10.12,6.7,14.65,5.54,15.0,15.49,42.66,12.13,0,0,1,0
12.04,7.28,17.14,11.08,6.72,16.93,4.98,15.76,14.96,39.06,11.3,0,0,0,1
11.71,7.76,18.51,12.44,7.2,16.11,4.94,18.05,15.35,40.8,11.3,0,0,0,1
11.94,6.94,17.14,9.85,6.67,15.08,5.17,15.37,15.63,43.5,10.99,0,0,0,1
11.94,7.7,18.59,12.49,7.09,15.52,4.84,18.77,15.49,46.19,11.26,0,0,0,1
12.42,6.94,17.0,10.05,6.67,14.53,5.48,15.12,15.42,42.94,11.71,0,0,1,0
14.87,14.59,12.43,18.12,10.93,23.07,8.87,9.57,13.32,42.66,12.82,1,0,0,0
13.03,7.43,15.64,11.08,6.61,15.97,5.91,12.85,14.96,42.94,12.47,0,1,0,0
11.21,6.99,16.58,10.49,6.48,16.51,4.88,14.87,14.76,39.55,10.87,0,0,0,1
12.13,7.02,16.58,10.08,6.67,15.84,5.11,17.0,15.29,40.8,11.3,0,0,0,1
11.26,7.28,18.19,11.9,6.72,15.33,4.6,17.74,15.15,40.04,10.7,0,0,0,1
14.34,10.58,13.85,15.72,8.15,20.4,7.32,10.18,13.78,43.5,12.32,0,1,0,0
11.71,7.52,18.59,12.44,7.03,15.65,4.82,18.29,15.42,43.5,11.34,0,0,0,1
12.77,7.25,15.9,10.74,6.56,15.52,5.77,13.33,15.02,43.22,12.27,0,1,0,0
12.04,8.07,18.51,12.59,7.11,15.08,4.86,19.02,15.42,41.84,11.26,0,0,0,1
14.87,13.9,12.63,17.96,10.63,22.75,8.67,9.42,13.32,41.05,12.47,1,0,0,0
13.13,7.52,15.45,11.35,6.64,16.17,6.01,12.55,14.96,41.58,12.42,0,1,0,0
14.81,13.96,12.58,17.96,10.63,22.75,8.7,9.45,13.32,42.94,11.89,1,0,0,0
14.81,16.23,9.9,18.52,12.64,24.53,10.81,8.99,13.04,41.05,12.62,1,0,0,0
11.44,7.58,17.73,11.53,6.97,17.15,5.09,16.02,15.09,40.54,10.99,0,0,0,1
11.99,7.02,17.21,9.89,6.75,15.14,5.23,15.63,15.63,42.38,11.85,0,0,0,1
12.67,7.08,17.14,10.2,6.67,14.77,5.57,14.93,15.29,41.05,12.27,0,1,0,0
12.62,7.82,13.36,12.59,6.27,17.67,5.89,10.03,13.21,40.29,10.95,0,1,0,0
11.89,7.22,16.24,10.37,6.75,16.38,5.13,15.63,15.15,44.96,11.26,0,0,0,1
13.83,8.6,14.65,13.21,7.09,18.13,6.69,11.1,14.38,43.78,12.42,0,1,0,0
11.39,7.61,17.88,11.72,7.03,17.22,5.06,16.3,15.15,41.84,11.21,0,0,0,1
14.46,11.77,13.3,16.61,8.95,21.14,7.71,9.79,13.43,42.38,12.32,1,0,0,0
14.81,16.17,10.06,18.52,12.45,24.42,10.63,8.88,17.91,41.84,11.89,1,0,0,0
12.28,6.88,17.43,9.89,6.64,14.36,5.36,15.96,16.05,42.38,11.62,0,0,1,0
