MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
10.09,6.55,16.86,10.91,6.02,14.01,4.11,16.36,13.96,35.31,9.66,4
11.8,7.73,18.83,12.54,7.17,15.97,4.9,18.37,15.63,43.5,11.43,4
11.53,7.73,18.04,12.34,7.17,15.78,4.94,17.59,15.02,37.9,11.08,4
15.12,15.77,11.35,18.69,12.2,24.07,9.94,9.31,15.49,43.78,12.08,1
12.18,7.14,16.79,10.28,6.78,15.84,5.19,15.63,15.35,41.32,11.43,4
11.57,7.73,18.27,12.34,7.17,16.51,4.9,17.36,15.09,39.55,11.3,4
11.99,7.73,18.83,12.59,7.2,15.97,4.92,18.45,15.63,42.11,11.26,4
11.0,7.46,17.81,11.67,6.86,16.79,4.88,16.36,14.96,39.3,10.74,4
14.23,10.22,13.79,15.46,7.99,20.04,7.24,10.34,13.72,44.07,12.52,2
12.42,6.88,17.51,9.89,6.61,14.07,5.36,15.83,15.63,42.94,11.85,3
11.99,8.11,18.43,12.69,7.14,15.08,4.86,18.85,15.42,40.8,11.43,4
11.44,6.97,16.17,10.24,6.53,16.31,4.94,15.37,14.83,40.8,10.99,4
10.87,7.19,17.73,11.39,6.56,16.31,4.56,17.07,14.89,39.79,10.37,4
11.53,7.67,18.75,12.44,7.14,15.97,4.86,18.77,15.49,41.32,11.21,4
11.94,7.46,17.07,11.13,6.94,17.22,5.15,15.69,15.09,42.66,11.3,4
11.99,7.02,16.58,10.05,6.67,15.78,5.11,15.83,15.29,41.32,10.99,4
11.0,7.25,17.88,11.72,6.45,14.3,4.37,18.13,14.76,39.06,10.74,4
15.0,14.83,12.09,18.44,11.37,23.29,9.26,9.2,13.32,43.5,12.62,1
10.74,6.69,17.58,11.22,6.14,14.42,4.18,17.67,14.63,38.12,9.93,4
14.81,12.68,13.09,17.27,9.76,21.73,8.01,9.49,13.26,41.05,12.67,1
12.04,7.05,17.36,9.93,6.78,15.2,5.28,15.69,15.63,42.11,11.04,4
11.44,7.55,17.88,11.62,7.0,17.22,5.06,16.16,15.15,40.8,10.82,4
12.13,7.08,17.43,10.01,6.86,15.08,5.34,16.3,15.84,41.84,11.43,4
11.35,7.49,17.88,12.05,7.0,15.71,4.76,17.67,14.96,39.06,10.82,4
11.94,8.04,18.43,12.54,7.09,15.02,4.82,18.94,15.35,42.38,11.34,4
